0.003	-0.356	0.106
0.003	-0.350	0.111
0.003	-0.348	0.112
0.003	-0.346	0.112
0.003	-0.344	0.111
0.003	-0.342	0.110
0.003	-0.338	0.108
0.003	-0.335	0.107
0.003	-0.332	0.106
0.003	-0.326	0.102
0.003	-0.323	0.101
0.003	-0.321	0.100
0.003	-0.318	0.098
0.003	-0.315	0.097
0.003	-0.312	0.096
0.004	-0.309	0.094
0.004	-0.303	0.178
0.004	-0.302	0.176
0.004	-0.302	0.176
0.004	-0.300	0.094
0.005	-0.298	0.096
0.005	-0.293	0.099
0.005	-0.286	0.103
0.006	-0.284	0.104
0.006	-0.281	0.106
0.006	-0.279	0.107
0.006	-0.276	0.108
0.007	-0.274	0.109
0.007	-0.269	0.111
0.007	-0.268	0.112
0.007	-0.265	0.113
0.008	-0.263	0.110
0.008	-0.260	0.107
0.008	-0.256	0.103
0.008	-0.253	0.101
0.008	-0.250	0.098
0.008	-0.248	0.096
0.008	-0.246	0.094
0.008	-0.242	0.091
0.008	-0.238	0.088
0.008	-0.234	0.085
0.008	-0.232	0.083
0.007	-0.229	0.081
0.007	-0.225	0.077
0.007	-0.223	0.076
0.007	-0.221	0.075
0.006	-0.220	0.190
0.006	-0.219	0.190
0.006	-0.219	0.189
0.006	-0.218	0.086
0.005	-0.217	0.087
0.005	-0.215	0.089
0.005	-0.213	0.090
0.005	-0.212	0.091
0.005	-0.210	0.094
0.004	-0.207	0.097
0.004	-0.204	0.100
0.005	-0.200	0.103
0.005	-0.199	0.103
0.004	-0.197	0.105
0.004	-0.194	0.108
0.005	-0.191	0.111
0.005	-0.187	0.112
0.005	-0.185	0.111
0.005	-0.183	0.110
0.005	-0.180	0.108
0.005	-0.177	0.107
0.005	-0.172	0.104
0.005	-0.165	0.101
0.006	-0.160	0.099
0.006	-0.152	0.095
0.007	-0.145	0.178
0.007	-0.141	0.176
0.007	-0.140	0.176
0.007	-0.138	0.095
0.007	-0.135	0.098
0.005	-0.131	0.099
0.005	-0.125	0.103
0.005	-0.121	0.105
0.005	-0.117	0.108
0.005	-0.115	0.109
